"","DOY","Date","Red.RedEdge1.r"
"1","344",2018-12-10,1.40027484382033
"2","349",2018-12-15,0.951495450218447
"3","004",2019-01-04,0.852646441964175
"4","009",2019-01-09,0.999679615418154
"5","039",2019-02-08,1.00773895654637
"6","044",2019-02-13,0.976311372824934
"7","049",2019-02-18,0.982279209680468
"8","084",2019-03-25,1.07918389132627
"9","099",2019-04-09,0.925411779643376
"10","109",2019-04-19,0.79144798777162
"11","114",2019-04-24,0.926985357377874
"12","124",2019-05-04,0.971980395901892
"13","159",2019-06-08,0.947027671073414
"14","164",2019-06-13,0.956256871204524
"15","189",2019-07-08,0.72641075478272
"16","204",2019-07-23,0.800630222579358
"17","209",2019-07-28,0.71726714716903
"18","214",2019-08-02,0.763893221010825
"19","219",2019-08-07,0.856578052202248
"20","229",2019-08-17,0.686988827967788
"21","234",2019-08-22,0.741010957237993
"22","239",2019-08-27,0.793845474510775
"23","259",2019-09-16,0.424687786349509
"24","269",2019-09-26,0.733485465682671
"25","289",2019-10-16,0.95671764622587
"26","309",2019-11-05,0.994014708940946
"27","319",2019-11-15,0.935900644372548
"28","344",2019-12-10,1.16790331113408
"29","349",2019-12-15,1.21060791451016
"30","359",2019-12-25,1.01150985912235
"31","019",2020-01-19,0.972171905141063
"32","034",2020-02-03,0.986026570040386
"33","039",2020-02-08,0.985240474483969
"34","049",2020-02-18,0.978100354186382
"35","054",2020-02-23,0.980492632352238
"36","064",2020-03-04,0.999974142137392
"37","104",2020-04-13,1.00000969288109
"38","109",2020-04-18,0.984108956825933
"39","124",2020-05-03,0.935221242347744
"40","129",2020-05-08,0.974608938994305
"41","134",2020-05-13,0.947533066117032
"42","154",2020-06-02,0.932478606417277
"43","159",2020-06-07,0.926568732784251
"44","164",2020-06-12,0.940113484319757
"45","169",2020-06-17,0.916844988059791
"46","189",2020-07-07,0.904563072364995
"47","194",2020-07-12,0.910140123988104
"48","199",2020-07-17,0.854643029603441
"49","204",2020-07-22,0.857641264216765
"50","209",2020-07-27,0.843276314423298
"51","219",2020-08-06,0.778296201774808
"52","224",2020-08-11,0.722548872882177
"53","229",2020-08-16,0.833678977935671
"54","234",2020-08-21,0.859803943641961
"55","239",2020-08-26,0.869448122896145
"56","249",2020-09-05,0.891708434494082
"57","259",2020-09-15,0.834652510738484
"58","264",2020-09-20,0.847855700702946
"59","269",2020-09-25,0.846194917561109
"60","284",2020-10-10,0.847770188004219
"61","289",2020-10-15,0.890635177778222
"62","304",2020-10-30,1.20240908976209
"63","309",2020-11-04,1.08127925336234
"64","314",2020-11-09,0.935972488113052
"65","339",2020-12-04,1.10920817073433
"66","344",2020-12-09,1.05383480730841
"67","023",2021-01-23,0.986896199546126
"68","058",2021-02-27,0.980716499880773
"69","063",2021-03-04,0.992461230677655
"70","068",2021-03-09,1.00747378622029
"71","078",2021-03-19,1.05209381234474
"72","088",2021-03-29,0.978463911529061
"73","118",2021-04-28,0.964628104033856
"74","153",2021-06-02,0.928189941184929
"75","163",2021-06-12,0.919087525230663
"76","168",2021-06-17,0.899412290410757
"77","173",2021-06-22,0.915858857477159
"78","183",2021-07-02,0.833055479874059
"79","203",2021-07-22,0.857197007680072
"80","213",2021-08-01,0.910667291682638
"81","228",2021-08-16,0.897724361818119
"82","253",2021-09-10,0.903155562141723
"83","258",2021-09-15,0.927923384374584
"84","273",2021-09-30,0.914834179385163
"85","308",2021-11-04,1.02268099089946
"86","363",2021-12-29,0.804502315201303
"87","013",2022-01-13,0.978792407922017
"88","028",2022-01-28,1.01214081671877
"89","033",2022-02-02,0.962853794259225
"90","038",2022-02-07,0.975885653067896
"91","043",2022-02-12,1.03471182108934
"92","048",2022-02-17,1.02771712336869
"93","053",2022-02-22,0.973655250497612
"94","058",2022-02-27,0.971932541980342
"95","063",2022-03-04,1.03502707549514
"96","068",2022-03-09,0.983744368409926
"97","073",2022-03-14,0.997668663425289
"98","078",2022-03-19,0.968572233435066
"99","083",2022-03-24,0.971376262907698
"100","088",2022-03-29,1.01683648816146
"101","093",2022-04-03,0.968393521552539
"102","098",2022-04-08,0.968028533355607
"103","103",2022-04-13,1.06826223702214
"104","108",2022-04-18,1.00116491644351
"105","113",2022-04-23,0.947735902222966
"106","118",2022-04-28,1.00017935208655
"107","123",2022-05-03,0.961013577400661
"108","128",2022-05-08,1.00101649775992
"109","133",2022-05-13,0.920549044147674
"110","138",2022-05-18,1.05029228347024
"111","143",2022-05-23,0.966570042536004
"112","148",2022-05-28,0.905061284791225
"113","153",2022-06-02,0.961170479874672
"114","158",2022-06-07,0.944991913961091
"115","163",2022-06-12,0.970681464617352
"116","168",2022-06-17,0.923444434153004
"117","173",2022-06-22,0.938423934529227
"118","178",2022-06-27,0.929189087459703
"119","183",2022-07-02,0.887576151599251
"120","188",2022-07-07,0.884848224095519
"121","193",2022-07-12,0.937054376363761
"122","198",2022-07-17,0.946564304022658
"123","203",2022-07-22,0.928168594971308
"124","208",2022-07-27,0.927614915090912
"125","213",2022-08-01,0.936236620687031
"126","218",2022-08-06,0.899911048041573
"127","223",2022-08-11,0.93194552796799
"128","228",2022-08-16,0.924105275746302
"129","233",2022-08-21,0.943161385974284
"130","238",2022-08-26,0.952363995519203
"131","243",2022-08-31,0.958900844493811
"132","248",2022-09-05,0.93930956739916
"133","253",2022-09-10,0.981723380192261
"134","258",2022-09-15,0.94894741378643
"135","263",2022-09-20,0.872606692904823
"136","268",2022-09-25,0.970024990860469
"137","273",2022-09-30,0.946163857629311
"138","278",2022-10-05,0.919069848018238
"139","283",2022-10-10,0.935337810456708
"140","288",2022-10-15,1.0049726608802
"141","293",2022-10-20,0.999640418675542
"142","298",2022-10-25,0.961025983214311
"143","303",2022-10-30,0.956332215900067
"144","308",2022-11-04,0.979834092513627
"145","313",2022-11-09,0.948472039408652
"146","318",2022-11-14,0.956199479804756
"147","323",2022-11-19,0.988515767064877
"148","328",2022-11-24,0.937645785711718
"149","333",2022-11-29,0.987511442992069
"150","338",2022-12-04,1.15888607813117
"151","343",2022-12-09,0.931821248849399
"152","348",2022-12-14,0.984006205620907
"153","353",2022-12-19,0.981442995134055
"154","358",2022-12-24,1.0063316690035
"155","363",2022-12-29,0.962438400730435
"156","003",2023-01-03,0.953760341778653
"157","008",2023-01-08,1.03904261619655
"158","013",2023-01-13,1.04309890195015
"159","018",2023-01-18,1.05563910846683
